BEDFORD  220-330 Cu.in.  (12V);OZ1001;IN;;48,00;37,00;10,00;45°
BEDFORD  220-330 Cu.in.  (12V);OZ1002;EX;;43,00;33,00;10,00;45°
B.M.C.  TM 30 (8V);OZ1003;IN;;41,00;30,00;10,00;45°
B.M.C.  TM 30 (8V);OZ1004;EX;;36,00;26,00;10,00;45°
B.M.C.  TM 150 (12V);OZ1005;IN;;47,00;39,50;8,70;45°
B.M.C.  TM 150 (12V);OZ1006;EX;;41,50;34,50;8,70;45°
B.M.C.  KÜÇÜK FATİH 162/22  (8V);OZ1007;IN;;47,20;38,00;7,20;30°
B.M.C.  KÜÇÜK FATİH 162/22  (8V);OZ1008;EX;;43,80;33,50;7,50;45°
B.M.C.  ORTA FATİH 162/25  (12V);OZ1009;IN;;47,20;38,00;7,20;30°
B.M.C.  ORTA FATİH 162/25  (12V);OZ1010;EX;;43,80;33,50;7,50;45°
B.M.C.  DEV FATİH 214/26  (12V);OZ1011;IN;;54,10;44,50;8,50;30°
B.M.C.  DEV FATİH 214/26  (12V);OZ1012;EX;;47,25;39,50;7,20;45°
B.M.C.  VOLVO-YAVUZ (TD60-61) (12V);OZ1013;IN;;43,63;35,60;6,13;30°
B.M.C.  VOLVO-YAVUZ (TD60-61) (12V);OZ1014;EX;;41,65;32,00;9,00;45°
B.M.C.  PRO 625 (24V);OZ1015;IN;;35,00;28,00;6,00;30°
B.M.C.  PRO 625 (24V);OZ1016;EX;;35,00;28,00;6,00;45°
B.M.C.  PRO 935 (24V);OZ1017;IN;;39,50;33,00;5,00;45°
B.M.C.  PRO 935 (24V);OZ1018;EX;;39,50;32,40;6,00;30°
B.M.C.  PRO 1142 (24V);OZ1019;IN;;46,10;38,50;5,00;45°
B.M.C.  PRO 1142 (24V);OZ1020;EX;;46,10;38,50;5,70;45°
CAT.  D7 C/D/F, D8, D8 H (12V);OZ1021;IN;;63,65;52,60;13,00;45°
CAT.  D7 C/D/F, D8, D8 H (12V);OZ1022;EX;;63,65;50,90;13,00;45°
CAT.  3406 - 3408 - 3412  (12V);OZ1023;IN;;46,05;39,00;9,30;45°
CAT.  3406 - 3408 - 3412  (12V);OZ1024;EX;;42,90;36,30;9,30;45°
CAT.  D330C (955 K/L), 3304  (8V);OZ1025;IN;;54,15;46,00;11,40;30°
CAT.  D330C (955 K/L), 3304  (8V);OZ1026;EX;;51,00;43,00;11,40;30°
CAT.  D353 - D379 - D398  (12V);OZ1027;IN;;65,85;57,80;16,20;45°
CAT.  D353 - D379 - D398  (12V);OZ1028;EX;;61,90;53,90;16,20;45°
CUMMINS  NTCC-400  (12V);OZ1029;IN;;50,90;42,80;7,20;30°
CUMMINS  NTCC-400  (12V);OZ1030;EX;;50,90;42,80;7,20;30°
CUMMINS  6 CT  (12V);OZ1031;IN;;54,01;44,55;7,75;30°
CUMMINS  6 CT  (12V);OZ1032;EX;;47,14;40,00;5,80;45°
DAF  DH825  1800 - 2300  (12V);OZ1033;IN;;53,15;42,90;7,00;45°
DAF  DH825  1800 - 2300  (12V);OZ1034;EX;;46,15;35,30;7,50;45°
DAF  2800 - 3300  (12V);OZ1035;IN;;53,12;;;
DAF  2800 - 3300  (12V);OZ1036;EX;;47,60;;;
DAF  F85, F95, F3300 ATİ  (12V);OZ1037;IN;;59,15;49,50;9,50;45°
DAF  F85, F95, F3300 ATİ  (12V);OZ1038;EX;;52,15;40,00;9,00;45°
DAF  XF/CF  24V;OZ1039;IN;;48,20;40,00;8,00;20°
DAF  XF/CF  24V;OZ1040;EX;;48,20;38,00;8,00;45°
DAF  F615  1600 - 1800  (12V);OZ1041;IN;;48,37;;;
DAF  F615  1600 - 1800  (12V);OZ1042;EX;;45,78;;;
DAF  DKA/DKL  1160  (12V);OZ1043;IN;;58,09;;;
DAF  DKA/DKL  1160  (12V);OZ1044;EX;;52,09;;;
FIAT  MURAT 124 - 131, 238B  (8V);OZ1045;IN;;37,00;29,00;8,50;45°
FIAT  MURAT 124 - 131, 238B  (8V);OZ1046;EX;;35,50;27,00;9,00;45°
FIAT  TEMPRA 1.4 SX, SW  (8V);OZ1047;IN;;41,50;35,50;8,50;45°
FIAT  TEMPRA 1.4 SX, SW  (8V);OZ1048;EX;;33,00;27,00;9,00;45°
FIAT  50 NC / 640 TRAKTÖR (8V);OZ1049;IN;;46,00;40,00;8,50;45°
FIAT  50 NC / 640 TRAKTÖR (8V);OZ1050;EX;;40,00;33,00;8,50;45°
FIAT  50 NC / 640 TRAKTÖR (8V) - HAM;OZ1051;IN;;49,00;40,00;10,00;45°
FIAT  50 NC / 640 TRAKTÖR (8V) - HAM;OZ1052;EX;;45,00;33,00;10,00;45°
FIAT  450 - 480 TRAKTÖR (6V);OZ1053;IN;;46,00;40,00;8,50;45°
FIAT  450 - 480 TRAKTÖR (6V);OZ1054;EX;;40,00;33,00;8,50;45°
FIAT  65.9 (8040.05) (8V);OZ1055;IN;;47,65;38,00;9,00;45°
FIAT  65.9 (8040.05) (8V);OZ1056;EX;;41,65;32,00;9,00;45°
FIAT  415 TRAKTÖR (8V);OZ1057;IN;;45,00;35,00;10,00;45°
FIAT  415 TRAKTÖR (8V);OZ1058;EX;;40,00;30,00;10,00;45°
FIAT  130 TIR, 673N (12V);OZ1059;IN;;50,05;44,00;8,50;45°
FIAT  130 TIR, 673N (12V);OZ1060;EX;;43,55;36,00;8,50;45°
FIAT  684N - 690 N4 (8200.02) (12V);OZ1061;IN;;53,20;44,10;7,30;45°
FIAT  684N - 690 N4 (8200.02) (12V);OZ1062;EX;;47,20;40,10;7,30;45°
FIAT  697N, 691, 693  (8210.02) (12V);OZ1063;IN;;61,19;51,10;8,30;45°
FIAT  697N, 691, 693  (8210.02) (12V);OZ1064;EX;;51,19;43,10;8,30;45°
FIAT  619N, 697N  (8210.12) (12V);OZ1065;IN;;59,20;48,00;10,30;30°
FIAT  619N, 697N  (8210.12) (12V);OZ1066;EX;;51,20;41,00;10,30;45°
FORD  1.6 TAUNUS  (8V);OZ1067;IN;;43,00;37,00;9,00;45°
FORD  1.6 TAUNUS  (8V);OZ1068;EX;;37,00;30,00;8,00;45°
FORD  2.0 TAUNUS  (8V);OZ1069;IN;;43,00;37,00;9,00;45°
FORD  2.0 TAUNUS  (8V);OZ1070;EX;;40,00;32,00;9,00;45°
FORD TRANSİT 2,4 Dzl (2401E-YORK) (8V);OZ1071;IN;;48,00;37,00;7,50;45°
FORD TRANSİT 2,4 Dzl (2401E-YORK) (8V);OZ1072;EX;;40,50;30,00;7,50;45°
FORD  TRANSİT 2,5 Dizel / T12-T15  (8V);OZ1073;IN;;43,65;36,20;6,77;45°
FORD  TRANSİT 2,5 Dizel / T12-T15  (8V);OZ1074;EX;;38,10;30,56;6,73;45°
FORD  TRANSİT 2,5 Dizel  (8V)  -  HAM;OZ1075;IN;;46,50;36,20;9,00;45°
FORD  TRANSİT 2,5 Dizel  (8V)  -  HAM;OZ1076;EX;;41,50;30,50;9,00;45°
FORD  1210 / 1211 CARGO (12V);OZ1077;IN;;47,15;41,00;8,50;30°
FORD  1210 / 1211 CARGO (12V);OZ1078;EX;;40,15;34,00;8,50;30°
FORD  3000 - 5000 - 6600 TRAKTÖR  (8V);OZ1079;IN;;48,00;41,50;10,00;45°
FORD  3000 - 5000 - 6600 TRAKTÖR  (8V);OZ1080;EX;;40,00;34,00;10,50;45°
FORD  ESCORT  2000  (8V);OZ1081;IN;;44,50;37,00;8,00;45°
FORD  ESCORT  2000  (8V);OZ1082;EX;;39,50;32,00;8,00;45°
FORD  ESCORT  (16V);OZ1083;IN;;29,00;22,50;7,00;45°
FORD  ESCORT  (16V);OZ1084;EX;;26,50;21,00;7,00;45°
FORD  3227  (12V);OZ1085;IN;;49,15;38,60;7,50;30°
FORD  3227  (12V);OZ1086;EX;;43,65;34,90;7,90;45°
FORD  DOVERTEK  (24V);OZ1087;IN;;47,30;39,00;7,55;30°
FORD  DOVERTEK  (24V);OZ1088;EX;;42,35;35,00;8,00;45°
HINO FB 112 ( 8V );OZ1089;IN;;46,60;38,60;7,70;30°
HINO FB 112 ( 8V );OZ1090;EX;;41,15;35,50;6,10;45°
HINO  KIRK AYAK (JO8) (24V)  ;OZ1091;IN;;41,20;34,00;7,30;30°
HINO  KIRK AYAK (JO8) (24V)  ;OZ1092;EX;;39,20;32,00;6,30;45°
HINO  FB 112;OZ1093;IN;;46,65;38,60;7,70;30°
